JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Technical Support Engineer,Technology and Data,£27000,London,"['Django', 'Python Programming', 'Big Data Technologies']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Customer Service Manager,Administrative,£34000,Newcastle,"['HR Information Systems', 'Recruitment', 'Conflict Resolution']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Electrical Engineer,Engineering and Science,£27000,Liverpool,"['Data Analysis', 'Statistical Analysis', 'Product Development']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Customer Service Manager,Administrative,£34000,Newcastle,"['Performance Appraisal Systems', 'Recruitment', 'Office Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Product Designer,Marketing and Creative,£25000,Leeds,"['Digital Marketing', 'Graphic Design', 'User Research']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Public Relations Officer,Marketing and Creative,£28000,Liverpool,"['Google Analytics', 'SEO Optimisation', 'Market Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Nurse,Administrative,£33000,Leeds,"['Recruitment', 'Compliance Management', 'Organisational Skills']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Human Resources Assistant,Administrative,£22000,Bristol,"['Office Management', 'HR Information Systems', 'Recruitment']","Support HR functions including recruitment, employee relations, and record-keeping."
Nurse,Administrative,£33000,London,"['Performance Appraisal Systems', 'Client Management', 'Conflict Resolution']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Systems Analyst,Technology and Data,£24000,Birmingham,"['ETL', 'APIs', 'Problem Solving']",Evaluate and improve computer systems to enhance efficiency.
Recruitment Consultant,Administrative,£32000,Newcastle,"['HR Information Systems', 'Onboarding', 'Talent Acquisition']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Logistics Coordinator,Administrative,£26000,Leeds,"['Client Management', 'Compliance Management', 'HR Information Systems']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Business Development Executive,Finance and Business,£21000,Leeds,"['Analytical Skills', 'Project Management', 'Regulatory Compliance']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Risk Analyst,Finance and Business,£21000,Leeds,"['Analytical Skills', 'Business Strategy', 'Excel']",You must be able to identify and assess potential risks to the organisation.
UI Designer,Technology and Data,£25000,Manchester,"['Machine Learning', 'ETL', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Marketing Executive,Marketing and Creative,£25000,Sheffield,"['Google Analytics', 'Email Marketing', 'Content Management Systems']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Graphic Designer,Marketing and Creative,£30000,Nottingham,"['Social Media Marketing', 'Content Creation', 'Adobe Creative Suite']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
UI Designer,Technology and Data,£23000,Bristol,"['Data Visualisation', 'Cloud Computing', 'Data Warehousing']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Civil Engineer,Engineering and Science,£31000,Birmingham,"['Prototyping', 'Project Management Software', 'Research Methodology']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Health and Safety Advisor,Engineering and Science,£26000,Newcastle,"['Mechanical Design', 'Prototyping', 'Product Development']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Logistics Coordinator,Administrative,£27000,Birmingham,"['Organisational Skills', 'Onboarding', 'Compliance Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Customer Service Manager,Administrative,£31000,Sheffield,"['Office Management', 'Compliance Management', 'Client Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Corporate Finance Analyst,Finance and Business,£28000,Birmingham,"['Financial Analysis', 'Excel', 'Market Research']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Risk Analyst,Finance and Business,£20000,Bristol,"['Financial Forecasting', 'Reporting', 'Bookkeeping']",You must be able to identify and assess potential risks to the organisation.
Business Development Executive,Finance and Business,£34000,Bristol,"['Risk Assessment', 'Financial Analysis', 'Analytical Skills']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Health and Safety Advisor,Engineering and Science,£22000,Cambridge,"['Simulation Software', 'Engineering Design', 'Lab Techniques']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Insurance Underwriter,Administrative,£32000,Birmingham,"['Employee Relations', 'Organisational Skills', 'Payroll Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Management Consultant,Administrative,£31000,Leeds,"['Training and Development', 'Leadership', 'Talent Acquisition']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Sales Executive,Marketing and Creative,£33000,Newcastle,"['User Research', 'Adobe Creative Suite', 'Digital Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Sales Executive,Marketing and Creative,£35000,Liverpool,"['Analytics', 'Google Analytics', 'Digital Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Engineering Graduate,Engineering and Science,£34000,Bristol,"['Regulatory Compliance', 'Statistical Analysis', 'Finite Element Analysis']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Human Resources Assistant,Administrative,£20000,Nottingham,"['Organisational Skills', 'Performance Appraisal Systems', 'Client Management']","Support HR functions including recruitment, employee relations, and record-keeping."
Health and Safety Advisor,Engineering and Science,£26000,Nottingham,"['Research Methodology', 'Statistical Analysis', 'Project Management Software']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Event Coordinator,Marketing and Creative,£30000,Leeds,"['Adobe Creative Suite', 'Social Media Marketing', 'Google Analytics']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Teacher,Administrative,£27000,Sheffield,"['Office Management', 'Organisational Skills', 'Employee Relations']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Risk Analyst,Finance and Business,£21000,Liverpool,"['Financial Analysis', 'Bookkeeping', 'Quantitative Analysis']",You must be able to identify and assess potential risks to the organisation.
Marketing Executive,Marketing and Creative,£27000,Birmingham,"['Content Management Systems', 'Content Creation', 'Analytics']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Data Analyst,Technology and Data,£34000,Manchester,"['Python Programming', 'Big Data Technologies', 'JavaScript']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
