JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Research Scientist,Engineering and Science,£24000,Manchester,"['Data Analysis', 'Technical Writing', 'Regulatory Compliance']",2025-08-31,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Logistics Coordinator,Administrative,£26000,Cambridge,"['Performance Appraisal Systems', 'Employee Relations', 'Compliance Management']",2025-01-12,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Product Designer,Marketing and Creative,£22000,Nottingham,"['Social Media Marketing', 'Content Management Systems', 'Digital Marketing']",2024-11-05,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Quantity Surveyor,Engineering and Science,£28000,London,"['Regulatory Compliance', 'Simulation Software', 'Data Analysis']",2025-03-02,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Data Scientist,Technology and Data,£28000,Liverpool,"['Data Warehousing', 'Machine Learning', 'Version Control']",2024-10-09,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Business Development Executive,Finance and Business,£22000,Manchester,"['Project Management', 'Analytical Skills', 'Risk Assessment']",2025-06-21,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Public Relations Officer,Marketing and Creative,£29000,London,"['Content Creation', 'Campaign Management', 'User Research']",2025-02-07,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Pharmaceutical Sales Representative,Engineering and Science,£28000,Birmingham,"['Research Methodology', 'CAD Software', 'Engineering Design']",2025-07-26,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Public Relations Officer,Marketing and Creative,£28000,Leeds,"['Graphic Design', 'Market Research', 'Digital Marketing']",2025-06-19,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Audit Associate,Finance and Business,£22000,Cambridge,"['Budgeting', 'Excel', 'Market Research']",2025-05-27,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Event Coordinator,Marketing and Creative,£21000,Sheffield,"['Content Creation', 'Email Marketing', 'Adobe Creative Suite']",2024-10-13,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Recruitment Consultant,Administrative,£27000,London,"['Communication', 'Performance Appraisal Systems', 'Onboarding']",2025-01-23,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
UI Designer,Technology and Data,£22000,Sheffield,"['Data Analysis', 'Data Visualisation', 'ETL']",2025-04-12,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Health and Safety Advisor,Engineering and Science,£32000,Birmingham,"['Mechanical Design', 'Research Methodology', 'Technical Writing']",2024-10-21,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
